strategy,ann_return,ann_vol,sharpe,max_drawdown,turnover_mean,turnover_p95,dr_mean,db_mean,active_rate,failure_rate,run_id,delta,eta
Main,0.049537474289578,0.035210559317873,1.406892569991996,-0.03899596973176,0.0679023590725284,0.1770212017581624,0.0038836395618663,0.0150403400948619,1.0,0.0,calibration__main__val__20260419__01__d01,0.01,0.0
Main,0.049536265343546,0.035207942895938,1.4069627836524672,-0.0389892224960476,0.0675875146565024,0.1749775345026347,0.0038830619365545,0.0150413515963119,1.0,0.0,calibration__main__val__20260419__01__d02,0.01,0.01
Main,0.0495350640600515,0.0352052701896454,1.4070354748937783,-0.0389823694775227,0.0672809787419776,0.1729990638309311,0.0038826173031082,0.0150424095448652,1.0,0.0,calibration__main__val__20260419__01__d03,0.01,0.02
Main,0.0495314547706831,0.035196942392718,1.4072658419593496,-0.0389612206095453,0.0664043154563447,0.1674235910852556,0.0038819849785005,0.0150458297516698,1.0,0.0,calibration__main__val__20260419__01__d04,0.01,0.05
Main,0.0504957302269859,0.0369531972051967,1.366477978795425,-0.0419295597804997,0.0644046924992226,0.165645865464468,0.0015850559675175,0.0220902759705257,1.0,0.0,calibration__main__val__20260419__01__d05,0.02,0.0
Main,0.0504958173798395,0.0369497994063677,1.3666059949201594,-0.0419185574824684,0.0640938482810444,0.1636877870997846,0.00158475777992,0.0220909707002105,1.0,0.0,calibration__main__val__20260419__01__d06,0.02,0.01
Main,0.0504959226944798,0.0369463712575112,1.36673564888227,-0.0419076526567628,0.0637975192464907,0.1618024255465987,0.001584615644606,0.0220917181446454,1.0,0.0,calibration__main__val__20260419__01__d07,0.02,0.02
Main,0.0504960652247308,0.03693593905642,1.367125529084222,-0.0418754986682095,0.063006019969379,0.1575134854945948,0.0015849914817475,0.0220942307287096,1.0,0.0,calibration__main__val__20260419__01__d08,0.02,0.05
Main,0.0515931206231874,0.038425966128908,1.342662939172624,-0.0443603036131144,0.0584602212001802,0.1471657699453598,0.00057041270896,0.0298668119769624,0.723404255319149,0.0851063829787234,calibration__main__val__20260419__01__d12,0.03,0.05
Main,0.051584270423072,0.0384412011962873,1.3419005862921378,-0.044422330549238,0.0592405863771075,0.1526638187754384,0.000569435067722,0.0298705698283372,0.7021276595744681,0.0638297872340425,calibration__main__val__20260419__01__d11,0.03,0.02
Main,0.0515814645261034,0.0384469456174363,1.341627109715327,-0.0444446167606426,0.0595712921164631,0.1550921919838457,0.0005693951139594,0.0298722553711238,0.7021276595744681,0.0425531914893616,calibration__main__val__20260419__01__d10,0.03,0.01
Main,0.051580345874016,0.0384538390509714,1.3413575119416583,-0.0444677400499565,0.0599603268165683,0.1576355934941583,0.0005695324196616,0.029874405506214,0.723404255319149,0.0638297872340425,calibration__main__val__20260419__01__d09,0.03,0.0
