spec,strategy,dr_mean,db_mean,turnover_mean,ann_return,sharpe
d08,CtB-only,0.0407996013604804,0.0012651133173999,0.0868198913502704,0.0286016284235814,0.6235055565903268
d08,CtR-only,3.070697017941551e-06,0.0459303688085144,0.04427535911783,0.037357195002099,0.6241051417154921
d08,EW,0.0184041577542469,0.2190935918777552,0.0169491525423728,0.0691892778095233,0.7975041580161425
d08,GMV,0.3017417711742214,0.2380103971356958,0.0736592918657939,0.0188596956914119,0.7343942494780583
d08,MDP,0.040149154106809,0.0015019787260442,0.091491785123442,0.029421978905775,0.6321394594792701
d08,Main,0.0023921972493646,0.0226943765776695,0.0563696868337475,0.0339254332722163,0.6092520294090349
d04,CtB-only,0.0407996013604804,0.0012651133173999,0.0868198913502704,0.0286016284235814,0.6235055565903268
d04,CtR-only,3.070697017941551e-06,0.0459303688085144,0.04427535911783,0.037357195002099,0.6241051417154921
d04,EW,0.0184041577542469,0.2190935918777552,0.0169491525423728,0.0691892778095233,0.7975041580161425
d04,GMV,0.3017417711742214,0.2380103971356958,0.0736592918657939,0.0188596956914119,0.7343942494780583
d04,MDP,0.040149154106809,0.0015019787260442,0.091491785123442,0.029421978905775,0.6321394594792701
d04,Main,0.0051457305857249,0.0155001094631677,0.0600595368304597,0.0332958113535344,0.6272591517801063
