run_id,main_strategy,benchmark_strategy,metric,preferred_sign,n_obs,mean_diff,ci_95_low,ci_95_high,p_one_sided,p_two_sided
full__main__test__20260419__01,Main,CtR-only,period_return,1,59,-0.0002966717192151,-0.0005342116724161,1.0088508256651956e-05,0.9704,0.0592
full__main__test__20260419__01,Main,CtR-only,D_R,-1,59,0.0023891265523466,0.0015939282798543,0.0029464240971232,1.0,0.0
full__main__test__20260419__01,Main,CtR-only,D_B,-1,59,-0.0232359922308449,-0.0268606012088191,-0.0162021114668184,0.0,0.0
full__main__test__20260419__01,Main,CtR-only,band_active,-1,59,0.9830508474576272,0.9491525423728814,1.0,1.0,0.0
full__main__test__20260419__01,Main,CtR-only,band_violation,-1,59,0.002711739427066,0.0021334868190129,0.0032741964870426,1.0,0.0
full__main__test__20260419__01,Main,CtR-only,turnover,-1,59,0.0120943277159174,0.0093174950548497,0.016023873797901,1.0,0.0
full__main__test__20260419__01,Main,CtB-only,period_return,1,59,0.0004721575717756,-0.0003901120834163,0.0014065521766837,0.13,0.26
full__main__test__20260419__01,Main,CtB-only,D_R,-1,59,-0.0384074041111157,-0.0449780420957843,-0.0338287049137163,0.0,0.0
full__main__test__20260419__01,Main,CtB-only,D_B,-1,59,0.0214292632602696,0.0210859381106794,0.0216748245888954,1.0,0.0
full__main__test__20260419__01,Main,CtB-only,band_active,-1,59,0.9830508474576272,0.9491525423728814,1.0,1.0,0.0
full__main__test__20260419__01,Main,CtB-only,band_violation,-1,59,0.002711739427066,0.0021334868190129,0.0032741964870426,1.0,0.0
full__main__test__20260419__01,Main,CtB-only,turnover,-1,59,-0.0304502045165229,-0.0387087511845524,-0.0237988258615029,0.0,0.0
full__main__test__20260419__01,Main,EW,period_return,1,59,-0.0029885201568239,-0.0043464669871685,-0.000409172046881,0.9902,0.0196
full__main__test__20260419__01,Main,EW,D_R,-1,59,-0.0160119605048823,-0.0188530179603114,-0.01183006476843,0.0,0.0
full__main__test__20260419__01,Main,EW,D_B,-1,59,-0.1963992153000857,-0.2432096595226941,-0.1151688048826639,0.0,0.0
full__main__test__20260419__01,Main,EW,band_active,-1,59,0.9830508474576272,0.9491525423728814,1.0,1.0,0.0
full__main__test__20260419__01,Main,EW,band_violation,-1,59,0.002711739427066,0.0021334868190129,0.0032741964870426,1.0,0.0
full__main__test__20260419__01,Main,EW,turnover,-1,59,0.0394205342913746,0.0308835314838479,0.0488393259338195,1.0,0.0
full__main__test__20260419__01,Main,GMV,period_return,1,59,0.001326163076854,-0.0009619385845295,0.0030087993612429,0.1246,0.2492
full__main__test__20260419__01,Main,GMV,D_R,-1,59,-0.2993495739248569,-0.3645977098006736,-0.2597426952216097,0.0,0.0
full__main__test__20260419__01,Main,GMV,D_B,-1,59,-0.2153160205580263,-0.2349786481075735,-0.2037265083126843,0.0,0.0
full__main__test__20260419__01,Main,GMV,band_active,-1,59,0.9830508474576272,0.9491525423728814,1.0,1.0,0.0
full__main__test__20260419__01,Main,GMV,band_violation,-1,59,0.002711739427066,0.0021334868190129,0.0032741964870426,1.0,0.0
full__main__test__20260419__01,Main,GMV,turnover,-1,59,-0.0172896050320464,-0.0334401807531573,-0.001335980475807,0.0164,0.0328
