date,strategy,period_return
2016-02-29,EW,0.011038145972395386
2016-02-29,GMV,0.0020447768302371827
2016-02-29,CtR-only,0.010055971523835083
2016-02-29,MDP,0.010477047054481936
2016-02-29,CtB-only,0.010309629920705943
2016-02-29,Main,0.010064814067644257
2016-03-31,EW,0.04552466687731793
2016-03-31,GMV,0.005547062430319549
2016-03-31,CtR-only,0.020434522961779056
2016-03-31,MDP,0.010998799760543854
2016-03-31,CtB-only,0.01101570711615274
2016-03-31,Main,0.019933821669979368
2016-04-29,EW,0.017866153724536593
2016-04-29,GMV,0.0019414068375398497
2016-04-29,CtR-only,0.00934681917321778
2016-04-29,MDP,0.008538435130064581
2016-04-29,CtB-only,0.008686778897420977
2016-04-29,Main,0.009323641404099137
2016-05-31,EW,-0.0060194565202434935
2016-05-31,GMV,-0.000997140393279583
2016-05-31,CtR-only,-0.004472503496919744
2016-05-31,MDP,-0.0029635100953454563
2016-05-31,CtB-only,-0.003192909741748795
2016-05-31,Main,-0.004535864591384331
2016-06-30,EW,0.03329118988797686
2016-06-30,GMV,0.008601179364440492
2016-06-30,CtR-only,0.023194409381162462
2016-06-30,MDP,0.019449440023319164
2016-06-30,CtB-only,0.01928016261822907
2016-06-30,Main,0.02308431610164452
2016-07-29,EW,0.014182736039697774
2016-07-29,GMV,0.0021246011604056925
2016-07-29,CtR-only,0.006990357763189348
2016-07-29,MDP,0.005703062780205492
2016-07-29,CtB-only,0.005430109814607231
2016-07-29,Main,0.006670538306704055
2016-08-31,EW,-0.00621629170559479
2016-08-31,GMV,-0.002408489961568505
2016-08-31,CtR-only,-0.005053457120139049
2016-08-31,MDP,-0.005900925704729887
2016-08-31,CtB-only,-0.0058514503501853055
2016-08-31,Main,-0.0050845334789825225
2016-09-30,EW,0.007925600266816213
2016-09-30,GMV,0.001891755826036734
2016-09-30,CtR-only,0.004149038480297573
2016-09-30,MDP,0.0044141678997218214
2016-09-30,CtB-only,0.004331333413620575
2016-09-30,Main,0.004121871637534191
2016-10-31,EW,-0.016337144360568545
2016-10-31,GMV,-0.0035434350602095988
2016-10-31,CtR-only,-0.01064436900195631
2016-10-31,MDP,-0.010131100842977303
2016-10-31,CtB-only,-0.009916603267463797
2016-10-31,Main,-0.010235650132944474
2016-11-30,EW,-0.020084087847863308
2016-11-30,GMV,-0.008245441086409344
2016-11-30,CtR-only,-0.019030832316840995
2016-11-30,MDP,-0.017879965717541357
2016-11-30,CtB-only,-0.017423540110653724
2016-11-30,Main,-0.018761545773970933
2016-12-30,EW,0.011595899343640692
2016-12-30,GMV,0.0023631793277738566
2016-12-30,CtR-only,0.005536260676231031
2016-12-30,MDP,0.0042619477887080315
2016-12-30,CtB-only,0.0043659055369063005
2016-12-30,Main,0.005114368787737522
2017-01-31,EW,0.017183766576555737
2017-01-31,GMV,0.0027809131417004807
2017-01-31,CtR-only,0.008947804466208797
2017-01-31,MDP,0.00869125132035431
2017-01-31,CtB-only,0.00823601236996896
2017-01-31,Main,0.008697404247113738
2017-02-28,EW,0.016265948206657166
2017-02-28,GMV,0.005178390527780463
2017-02-28,CtR-only,0.010353070521767815
2017-02-28,MDP,0.011520403930606715
2017-02-28,CtB-only,0.01173693307813739
2017-02-28,Main,0.009804198764110206
2017-03-31,EW,-0.0001738664073466234
2017-03-31,GMV,-0.00018585737180087936
2017-03-31,CtR-only,-0.0006848027054285888
2017-03-31,MDP,-0.0015346662762658614
2017-03-31,CtB-only,-0.0021943892363348594
2017-03-31,Main,-0.0008940923809582779
2017-04-28,EW,0.0070789499747823115
2017-04-28,GMV,0.003924481162103088
2017-04-28,CtR-only,0.006044186459999601
2017-04-28,MDP,0.005170551207227758
2017-04-28,CtB-only,0.004732168902472189
2017-04-28,Main,0.005560631751697631
2017-05-31,EW,0.005944229056309203
2017-05-31,GMV,0.003135784043450718
2017-05-31,CtR-only,0.004822661069544099
2017-05-31,MDP,0.004305893179950893
2017-05-31,CtB-only,0.0038339144740560105
2017-05-31,Main,0.004392973522509225
2017-06-30,EW,0.0004117425886089876
2017-06-30,GMV,-0.0014064971424928574
2017-06-30,CtR-only,-0.001039160494024416
2017-06-30,MDP,-0.0023881317318238393
2017-06-30,CtB-only,-0.0023509525337741533
2017-06-30,Main,-0.0012999443504877473
2017-07-31,EW,0.019754113036158927
2017-07-31,GMV,0.0038720045253204383
2017-07-31,CtR-only,0.011595060772658927
2017-07-31,MDP,0.009767864513781088
2017-07-31,CtB-only,0.009596582945869736
2017-07-31,Main,0.010923393595212216
2017-08-31,EW,0.011213677160864854
2017-08-31,GMV,0.0032690284946557124
2017-08-31,CtR-only,0.007909492458407552
2017-08-31,MDP,0.0068712708747717954
2017-08-31,CtB-only,0.006645981333826878
2017-08-31,Main,0.006986763661087636
2017-09-29,EW,0.0002120122607374153
2017-09-29,GMV,-0.0010139935891451124
2017-09-29,CtR-only,-0.000871715767374992
2017-09-29,MDP,-0.0003594943813953755
2017-09-29,CtB-only,-0.0006343563811205266
2017-09-29,Main,-0.00040983710218334135
2017-10-31,EW,0.008854160129990296
2017-10-31,GMV,0.0022607123941884577
2017-10-31,CtR-only,0.005745178214188629
2017-10-31,MDP,0.006656598704766203
2017-10-31,CtB-only,0.006236294190168135
2017-10-31,Main,0.005870711460935318
2017-11-30,EW,0.007114953485259701
2017-11-30,GMV,0.0016210847439568354
2017-11-30,CtR-only,0.004636512442034002
2017-11-30,MDP,0.006526821869377031
2017-11-30,CtB-only,0.006113036606699929
2017-11-30,Main,0.004894321704873139
2017-12-29,EW,0.013733896215216479
2017-12-29,GMV,0.00220553244286692
2017-12-29,CtR-only,0.008614164945642377
2017-12-29,MDP,0.006318562950862416
2017-12-29,CtB-only,0.006108332793482774
2017-12-29,Main,0.00805736782295674
2018-01-31,EW,0.015892978988499395
2018-01-31,GMV,0.0019219017027509722
2018-01-31,CtR-only,0.007239122331658354
2018-01-31,MDP,0.008647444250909686
2018-01-31,CtB-only,0.007946176840745611
2018-01-31,Main,0.007554516848829573
2018-02-28,EW,-0.030616253572647745
2018-02-28,GMV,-0.0053329807008061225
2018-02-28,CtR-only,-0.018915031158946882
2018-02-28,MDP,-0.01410932916260621
2018-02-28,CtB-only,-0.014029844915399048
2018-02-28,Main,-0.018359059956818746
2018-03-29,EW,0.006750265547933232
2018-03-29,GMV,0.0025675117108470147
2018-03-29,CtR-only,0.0056963174010487005
2018-03-29,MDP,0.003013202902708345
2018-03-29,CtB-only,0.0033303084487910084
2018-03-29,Main,0.005576643987298846
2018-04-30,EW,-0.0007344882282765974
2018-04-30,GMV,-0.002129690624609548
2018-04-30,CtR-only,-0.002663007268186357
2018-04-30,MDP,-0.001078358580057781
2018-04-30,CtB-only,-0.0010061079954859498
2018-04-30,Main,-0.0025078502878269626
2018-05-31,EW,0.006101684366853766
2018-05-31,GMV,0.00542271064372013
2018-05-31,CtR-only,0.005715575293086195
2018-05-31,MDP,0.008848741146845418
2018-05-31,CtB-only,0.008851751630436056
2018-05-31,Main,0.005754969623102069
2018-06-29,EW,-0.006801729603866491
2018-06-29,GMV,0.0011605384406854213
2018-06-29,CtR-only,-0.002476530799798926
2018-06-29,MDP,-0.00022458554443494094
2018-06-29,CtB-only,-0.00018921623096612716
2018-06-29,Main,-0.002373594446572036
2018-07-31,EW,0.0061923856377830155
2018-07-31,GMV,-0.0001222983216724316
2018-07-31,CtR-only,0.0013641701153999097
2018-07-31,MDP,-0.00026809821850992677
2018-07-31,CtB-only,-0.0003320088373236496
2018-07-31,Main,0.001099848591430641
2018-08-31,EW,0.0005925855971349314
2018-08-31,GMV,0.004799864061219905
2018-08-31,CtR-only,0.0033186939953024908
2018-08-31,MDP,0.007136609877150812
2018-08-31,CtB-only,0.007024953086858243
2018-08-31,Main,0.003383900029522602
2018-09-28,EW,-0.002335228931877986
2018-09-28,GMV,-0.0025910174598506863
2018-09-28,CtR-only,-0.003400985192050676
2018-09-28,MDP,-0.0027243980259784584
2018-09-28,CtB-only,-0.002699831407941611
2018-09-28,Main,-0.0033332666606906702
2018-10-31,EW,-0.03315755201731663
2018-10-31,GMV,-0.006598198566170055
2018-10-31,CtR-only,-0.014942099850240975
2018-10-31,MDP,-0.011545629647393252
2018-10-31,CtB-only,-0.011419461342379367
2018-10-31,Main,-0.014231292444986887
2018-11-30,EW,0.003934839273897595
2018-11-30,GMV,0.004003107890030444
2018-11-30,CtR-only,0.0033817053108256
2018-11-30,MDP,0.0033391168387455483
2018-11-30,CtB-only,0.003016540622066355
2018-11-30,Main,0.0032826816593214403
2018-12-31,EW,-0.019121418238213894
2018-12-31,GMV,0.004314811401572083
2018-12-31,CtR-only,0.0021076688983499015
2018-12-31,MDP,0.0030073778270629514
2018-12-31,CtB-only,0.002747210812304113
2018-12-31,Main,0.0025614775029954018
2019-01-31,EW,0.05243459058947053
2019-01-31,GMV,0.009003091195944446
2019-01-31,CtR-only,0.02299204568068447
2019-01-31,MDP,0.01743449583435197
2019-01-31,CtB-only,0.01756309505878928
2019-01-31,Main,0.02202282150989654
2019-02-28,EW,0.007376141104462608
2019-02-28,GMV,0.00145280277284221
2019-02-28,CtR-only,0.001761091124259595
2019-02-28,MDP,0.002467337191220942
2019-02-28,CtB-only,0.002530679930166979
2019-02-28,Main,0.0016818298790803876
2019-03-29,EW,0.015316283110463624
2019-03-29,GMV,0.009856255717671125
2019-03-29,CtR-only,0.014225497359601436
2019-03-29,MDP,0.012394374997359181
2019-03-29,CtB-only,0.012090405460549736
2019-03-29,Main,0.013936573096889004
2019-04-30,EW,0.00982304051326488
2019-04-30,GMV,0.003444307741736319
2019-04-30,CtR-only,0.0038250676906390613
2019-04-30,MDP,0.0033393844147080465
2019-04-30,CtB-only,0.0032790883364002266
2019-04-30,Main,0.0036946887982378662
2019-05-31,EW,-0.01513901370816706
2019-05-31,GMV,0.00591088813153795
2019-05-31,CtR-only,0.0036750778778740223
2019-05-31,MDP,0.003974429119708578
2019-05-31,CtB-only,0.0037945820862845814
2019-05-31,Main,0.0037975978064126448
2019-06-28,EW,0.0373917835384574
2019-06-28,GMV,0.009746564404975677
2019-06-28,CtR-only,0.02141414432668909
2019-06-28,MDP,0.019997051110322017
2019-06-28,CtB-only,0.019648825711288342
2019-06-28,Main,0.020906736043275087
2019-07-31,EW,-0.0010325870035767792
2019-07-31,GMV,-0.00015628092320429943
2019-07-31,CtR-only,9.936583783476394e-05
2019-07-31,MDP,0.000724687642503774
2019-07-31,CtB-only,0.0005598285424823768
2019-07-31,Main,3.8396659110206954e-05
2019-08-30,EW,0.0112119675601412
2019-08-30,GMV,0.010209683912558276
2019-08-30,CtR-only,0.017528373037530853
2019-08-30,MDP,0.015505480424994778
2019-08-30,CtB-only,0.015031229247919109
2019-08-30,Main,0.01683978458546931
2019-09-30,EW,0.0029729352880090154
2019-09-30,GMV,-0.001533137617182434
2019-09-30,CtR-only,-0.0026434415755114404
2019-09-30,MDP,-0.0027905148247474587
2019-09-30,CtB-only,-0.0025699110627507293
2019-09-30,Main,-0.002471034564440755
2019-10-31,EW,0.016086078958066796
2019-10-31,GMV,0.004235204331927811
2019-10-31,CtR-only,0.008525062113130533
2019-10-31,MDP,0.008025458418805309
2019-10-31,CtB-only,0.008206320011484358
2019-10-31,Main,0.008416623019771752
2019-11-29,EW,0.0009340336282728234
2019-11-29,GMV,0.0011230343822867805
2019-11-29,CtR-only,-0.00028302119567757966
2019-11-29,MDP,-0.00015025009106417464
2019-11-29,CtB-only,-0.00039236406700760007
2019-11-29,Main,-0.0004972244096373979
2019-12-31,EW,0.02379779680594596
2019-12-31,GMV,0.004584420663197086
2019-12-31,CtR-only,0.011890384922595754
2019-12-31,MDP,0.009639169034561412
2019-12-31,CtB-only,0.010358116034297815
2019-12-31,Main,0.01178281575112572
2020-01-31,EW,-0.003179555749020402
2020-01-31,GMV,0.004808435597900118
2020-01-31,CtR-only,0.004981915745291499
2020-01-31,MDP,0.005368318479188394
2020-01-31,CtB-only,0.003754487377506166
2020-01-31,Main,0.0035086530134655902
2020-02-28,EW,-0.027617440899385115
2020-02-28,GMV,0.001174876748355702
2020-02-28,CtR-only,-0.009323091091085645
2020-02-28,MDP,-0.005262683408954194
2020-02-28,CtB-only,-0.00626456859497726
2020-02-28,Main,-0.00912484575082917
2020-03-31,EW,-0.079332816509045
2020-03-31,GMV,-0.005801714850445783
2020-03-31,CtR-only,-0.03557871275284319
2020-03-31,MDP,-0.01826831068882806
2020-03-31,CtB-only,-0.018948381930073976
2020-03-31,Main,-0.03308469968728289
2020-04-30,EW,0.05046435405832006
2020-04-30,GMV,0.012485361828619368
2020-04-30,CtR-only,0.027438051674835817
2020-04-30,MDP,0.021027982470395612
2020-04-30,CtB-only,0.020091400877397803
2020-04-30,Main,0.02382881239416501
2020-05-29,EW,0.030121547364775125
2020-05-29,GMV,0.008645945831947444
2020-05-29,CtR-only,0.016255244420521286
2020-05-29,MDP,0.014286220634354585
2020-05-29,CtB-only,0.014354673540818208
2020-05-29,Main,0.014740704779496738
2020-06-30,EW,0.025632682903273807
2020-06-30,GMV,0.0049866413455526
2020-06-30,CtR-only,0.01335866825426657
2020-06-30,MDP,0.009396746401967304
2020-06-30,CtB-only,0.009485182452811491
2020-06-30,Main,0.011875103836397782
2020-07-31,EW,0.043068358376203486
2020-07-31,GMV,0.01114721448031708
2020-07-31,CtR-only,0.025628569219281028
2020-07-31,MDP,0.021621034509467618
2020-07-31,CtB-only,0.021569337070410866
2020-07-31,Main,0.02341549483864469
2020-08-31,EW,0.017922404982793072
2020-08-31,GMV,0.003675742815629768
2020-08-31,CtR-only,0.005671375540662327
2020-08-31,MDP,0.006289985790115971
2020-08-31,CtB-only,0.006479903925924235
2020-08-31,Main,0.004688028705909897
2020-09-30,EW,-0.017152652787862377
2020-09-30,GMV,-0.003139743273359641
2020-09-30,CtR-only,-0.008013211726659697
2020-09-30,MDP,-0.006760427305245176
2020-09-30,CtB-only,-0.006820282466916239
2020-09-30,Main,-0.007101422975117733
2020-10-30,EW,-0.01362845450737693
2020-10-30,GMV,-0.0070088135041097566
2020-10-30,CtR-only,-0.009047989937832956
2020-10-30,MDP,-0.008931298047885505
2020-10-30,CtB-only,-0.008913564855602907
2020-10-30,Main,-0.008617492997236575
2020-11-30,EW,0.05257038856420415
2020-11-30,GMV,0.010217676716745006
2020-11-30,CtR-only,0.01974387051799331
2020-11-30,MDP,0.014204115839308695
2020-11-30,CtB-only,0.014233694139447195
2020-11-30,Main,0.01634378412703863
2020-12-31,EW,0.03155411111202766
2020-12-31,GMV,0.005273972804510585
2020-12-31,CtR-only,0.014591738887726802
2020-12-31,MDP,0.011005696629377004
2020-12-31,CtB-only,0.011083505189623422
2020-12-31,Main,0.013035109788954946
