date,strategy,asset,ctb
2026-04-19,EW,A1,0.8268856253426914
2026-04-19,EW,A2,0.8268856253426914
2026-04-19,EW,A3,0.8268856253426914
2026-04-19,EW,B1,0.5926377579897538
2026-04-19,EW,B2,0.5926377579897538
2026-04-19,GMV,A1,0.6730677040448368
2026-04-19,GMV,A2,0.6730677040448367
2026-04-19,GMV,A3,0.6730677040448367
2026-04-19,GMV,B1,0.7771916402262595
2026-04-19,GMV,B2,0.7771916402262596
2026-04-19,CtR-only,A1,0.7746420416940698
2026-04-19,CtR-only,A2,0.7746420416940673
2026-04-19,CtR-only,A3,0.7746420416940751
2026-04-19,CtR-only,B1,0.670761446230799
2026-04-19,CtR-only,B2,0.670761446230862
2026-04-19,MDP,A1,0.7267399970471486
2026-04-19,MDP,A2,0.7267399970418896
2026-04-19,MDP,A3,0.7267399970760673
2026-04-19,MDP,B1,0.7266309253640479
2026-04-19,MDP,B2,0.7266309254108234
2026-04-19,CtB-only,A1,0.726729746203938
2026-04-19,CtB-only,A2,0.7267297462039696
2026-04-19,CtB-only,A3,0.7267297462038125
2026-04-19,CtB-only,B1,0.7266416711454968
2026-04-19,CtB-only,B2,0.7266416711458414
2026-04-19,Main,A1,0.7746420416939988
2026-04-19,Main,A2,0.7746420416939991
2026-04-19,Main,A3,0.7746420416940046
2026-04-19,Main,B1,0.6707614462309536
2026-04-19,Main,B2,0.670761446230889
