date,strategy,asset,weight
2026-04-19,EW,A1,0.2
2026-04-19,EW,A2,0.2
2026-04-19,EW,A3,0.2
2026-04-19,EW,A4,0.2
2026-04-19,EW,A5,0.2
2026-04-19,GMV,A1,0.5530201074818178
2026-04-19,GMV,A2,0.27933873870057835
2026-04-19,GMV,A3,0.12830385049615342
2026-04-19,GMV,A4,0.03933730332145041
2026-04-19,GMV,A5,0.0
2026-04-19,CtR-only,A1,0.26810368720440986
2026-04-19,CtR-only,A2,0.22351284870941457
2026-04-19,CtR-only,A3,0.19162403519976132
2026-04-19,CtR-only,A4,0.16769094171021479
2026-04-19,CtR-only,A5,0.14906848717619955
2026-04-19,MDP,A1,0.26811031665037005
2026-04-19,MDP,A2,0.22351338896695006
2026-04-19,MDP,A3,0.1916222830668065
2026-04-19,MDP,A4,0.16768835090452344
2026-04-19,MDP,A5,0.1490656604113499
2026-04-19,CtB-only,A1,0.26795687422372755
2026-04-19,CtB-only,A2,0.22350051026669548
2026-04-19,CtB-only,A3,0.1916627601875228
2026-04-19,CtB-only,A4,0.16774847767582762
2026-04-19,CtB-only,A5,0.14913137764622658
2026-04-19,Main,A1,0.26810368720440986
2026-04-19,Main,A2,0.22351284870941457
2026-04-19,Main,A3,0.19162403519976132
2026-04-19,Main,A4,0.16769094171021479
2026-04-19,Main,A5,0.14906848717619955
