strategy,asset,date,weight
CtB-only,A1,2026-04-19,0.26795687422372755
CtB-only,A2,2026-04-19,0.22350051026669548
CtB-only,A3,2026-04-19,0.1916627601875228
CtB-only,A4,2026-04-19,0.16774847767582762
CtB-only,A5,2026-04-19,0.14913137764622658
CtR-only,A1,2026-04-19,0.26810368720440986
CtR-only,A2,2026-04-19,0.22351284870941457
CtR-only,A3,2026-04-19,0.19162403519976132
CtR-only,A4,2026-04-19,0.16769094171021479
CtR-only,A5,2026-04-19,0.14906848717619955
EW,A1,2026-04-19,0.2
EW,A2,2026-04-19,0.2
EW,A3,2026-04-19,0.2
EW,A4,2026-04-19,0.2
EW,A5,2026-04-19,0.2
GMV,A1,2026-04-19,0.5530201074818178
GMV,A2,2026-04-19,0.27933873870057835
GMV,A3,2026-04-19,0.12830385049615342
GMV,A4,2026-04-19,0.03933730332145041
GMV,A5,2026-04-19,0.0
MDP,A1,2026-04-19,0.26811031665037005
MDP,A2,2026-04-19,0.22351338896695006
MDP,A3,2026-04-19,0.1916222830668065
MDP,A4,2026-04-19,0.16768835090452344
MDP,A5,2026-04-19,0.1490656604113499
Main,A1,2026-04-19,0.26810368720440986
Main,A2,2026-04-19,0.22351284870941457
Main,A3,2026-04-19,0.19162403519976132
Main,A4,2026-04-19,0.16769094171021479
Main,A5,2026-04-19,0.14906848717619955
